index	score	id
600	2.500	AFF4
601	2.500	AMFR
602	2.500	APBB1IP
603	2.500	ARHGAP29
604	2.500	ATF2
605	2.500	BAI1
606	2.500	BCL11B
607	2.500	BCL7A
608	2.500	BMPR2
609	2.500	BRD4
610	2.500	CAMK2A
611	2.500	CAMK2B
612	2.500	CAMK2G
613	2.500	CASP4
614	2.500	CCNG1
615	2.500	CDH4
616	2.500	CDKL5
617	2.500	CDKN1C
618	2.500	CLP1
619	2.500	CSF3
620	2.500	CTBP1
621	2.500	CTNND2
622	2.500	CUL4A
623	2.500	DNM1
624	2.500	E2F3
625	2.500	EDNRB
626	2.500	EHMT2
627	2.500	EIF4A2
628	2.500	ELF4
629	2.500	EPHA1
630	2.500	EPHA4
631	2.500	EPHA6
632	2.500	ETNK2
633	2.500	FAM171B
634	2.500	FGF1
635	2.500	FOXO4
636	2.500	FRS2
637	2.500	FSTL3
638	2.500	GHR
639	2.500	GLI3
640	2.500	GRIN2A
641	2.500	GRIN2B
642	2.500	GUK1
643	2.500	HECW1
644	2.500	HEPH
645	2.500	HLA-G
646	2.500	HLF
647	2.500	ID1
648	2.500	IKBKB
649	2.500	IL13
650	2.500	IL15
651	2.500	ITGA5
652	2.500	KDM1
653	2.500	KDM4B
654	2.500	KTN1
655	2.500	LHFP
656	2.500	LMNB2
657	2.500	LMO7
658	2.500	LRP6
659	2.500	LYN
660	2.500	MAML1
661	2.500	MAP2K6
662	2.500	MAP2K7
663	2.500	MAP4K4
664	2.500	MLLT11
665	2.500	MN1
666	2.500	MYH11
667	2.500	NADK
668	2.500	NEK10
669	2.500	NFATC1
670	2.500	NIPBL
671	2.500	NR2E1
672	2.500	NUP153
673	2.500	PCSK7
674	2.500	PDE4DIP
675	2.500	PHLPPL
676	2.500	PIP5K1B
677	2.500	POU2AF1
678	2.500	PPFIA2
679	2.500	PPM1D
680	2.500	PPM1E
681	2.500	PPP1R13B
682	2.500	PPP3R1
683	2.500	PRDM16
684	2.500	PRKACG
685	2.500	PRMT8
686	2.500	PTPRJ
687	2.500	PTPRS
688	2.500	RAB3D
689	2.500	RAC2
690	2.500	RAD21
691	2.500	RAN
692	2.500	RAP1GDS1
693	2.500	RASGRF1
694	2.500	RBPJ
695	2.500	RPS6KA3
696	2.500	SLC45A3
697	2.500	STAT6
698	2.500	STYK1
699	2.500	SUV39H1
700	2.500	TBK1
701	2.500	TFDP1
702	2.500	TLR4
703	2.500	TNF
704	2.500	TNFRSF10B
705	2.500	TNFRSF8
706	2.500	TPM4
707	2.500	TRAF2
708	2.500	TRIM33
709	2.500	TYRO3
710	2.500	XIAP
711	2.500	ZNF217
712	2.250	ABCC1
