index   score   id
361	3.500	CACNA2D3
362	3.500	CHL1
363	3.500	CIT
364	3.500	CTNNA2
365	3.500	CXCR4
366	3.500	CYLD
367	3.500	DAB2
368	3.500	DGKD
369	3.500	DOCK1
370	3.500	DUSP26
371	3.500	EIF4E
372	3.500	ERRFI1
373	3.500	FBLN1
374	3.500	GDA
375	3.500	GLI1
376	3.500	GNAI1
377	3.500	GRM1
378	3.500	HDAC6
379	3.500	HMGA2
380	3.500	HMGB1
381	3.500	HSD11B1
382	3.500	HSP90AB1
383	3.500	ICAM3
384	3.500	IMPA1
385	3.500	INPP4A
386	3.500	INPP5A
387	3.500	INPPL1
388	3.500	ITGAV
389	3.500	ITPK1
390	3.500	JUN
391	3.500	KEAP1
392	3.500	LCK
393	3.500	LCP1
394	3.500	LGALS3
395	3.500	LOX
396	3.500	MAPKBP1
397	3.500	MDC1
398	3.500	MGMT
399	3.500	MIF
400	3.500	MMP9
401	3.500	MSN
402	3.500	MYST3
403	3.500	NCOR2
404	3.500	NOV
405	3.500	NPM1
406	3.500	NR0B1
407	3.500	NUP133
408	3.500	NUP98
409	3.500	PAK6
410	3.500	PHLPP
411	3.500	PI4KA
412	3.500	PIK3C2B
413	3.500	PIM1
414	3.500	PIP4K2C
415	3.500	PLCB4
416	3.500	PMS1
417	3.500	POLR2E
418	3.500	PRKAR1A
419	3.500	PRKCB
420	3.500	PRKCD
421	3.500	PTBP1
422	3.500	PTPN6
423	3.500	PTPRA
424	3.500	RPN1
425	3.500	SAT1
426	3.500	SEPT5
427	3.500	SH3GL2
428	3.500	SIRT1
429	3.500	SNW1
430	3.500	SS18
431	3.500	STAT3
432	3.500	TAF1
433	3.500	TFRC
434	3.500	TNC
435	3.500	TOP1
436	3.500	TOPBP1
437	3.500	TSHR
438	3.500	UBE2C
439	3.500	USP7
440	3.500	WWOX
441	3.500	ZBTB16
442	3.250	AKT3
443	3.250	ALDH1A1
444	3.250	ANAPC2
445	3.250	BSG
446	3.250	CASC5
447	3.250	CCK
448	3.250	CCR1
449	3.250	CDC2
450	3.250	CDC25C
451	3.250	CHAT
452	3.250	CHIC2
453	3.250	CIITA
454	3.250	CKB
455	3.250	CSNK2A1
456	3.250	CYP1A1
457	3.250	CYP1A2
458	3.250	DAPK1
459	3.250	DLEC1
460	3.250	DST
461	3.250	EDN1
462	3.250	ELL
463	3.250	EPHA5
464	3.250	ERN1
465	3.250	FADD
466	3.250	FASN
467	3.250	FGF2
468	3.250	FGF9
469	3.250	GJA1
470	3.250	GNRH1
471	3.250	GSTP1
472	3.250	HNF1A
473	3.250	HOXA11
474	3.250	HSPA4
475	3.250	IGF1
476	3.250	IL3
477	3.250	IQGAP1
478	3.250	LATS1
479	3.250	LDHB
480	3.250	LIFR
481	3.250	LTK
482	3.250	MAD2L1
483	3.250	MAP2
484	3.250	MUSK
485	3.250	MYO18B
486	3.250	NCOA4
487	3.250	NKX2-1
488	3.250	NOS1
489	3.250	NUDT1
490	3.250	PARK2
491	3.250	PGK1
492	3.250	PIP4K2A
493	3.250	PLAGL1
494	3.250	PLAT
495	3.250	PLK1
496	3.250	PRKCI
497	3.250	PTK2B
498	3.250	PTPN1
499	3.250	RAC3
500	3.250	RCHY1
501	3.250	ROBO1
502	3.250	ROR1
503	3.250	RPL22
504	3.250	RRM1
505	3.250	SLC2A1
506	3.250	SSX4
507	3.250	STIL
508	3.250	SUV39H2
509	3.250	TGFBI
510	3.250	TIAM1
511	3.250	TRIP11
512	3.250	TYK2
513	3.250	TYMS
514	3.250	VEGFC
515	3.000	ABCA13
516	3.000	ABCA5
517	3.000	ABCD4
518	3.000	ABL2
519	3.000	ADAM12
520	3.000	ADAMTS12
521	3.000	ADAMTS20
522	3.000	ADAMTSL3
523	3.000	ADHFE1
524	3.000	AHR
525	3.000	AKAP9
526	3.000	AKR1C3
527	3.000	ALDH1A3
528	3.000	ALDH7A1
529	3.000	ANAPC4
530	3.000	ASMT
531	3.000	ATIC
532	3.000	ATRX
533	3.000	BCL6
534	3.000	BCL9
535	3.000	BTG1
536	3.000	CALM1
537	3.000	CARD11
538	3.000	CARS
539	3.000	CASP3
540	3.000	CCNB1IP1
541	3.000	CDC14A
542	3.000	CDK8
543	3.000	CHD8
544	3.000	CHST12
545	3.000	CIC
546	3.000	CLTCL1
547	3.000	COL1A2
548	3.000	COL3A1
549	3.000	COMT
550	3.000	COX6C
551	3.000	CPT1B
552	3.000	CRTC1
553	3.000	CYP17A1
554	3.000	CYP21A2
555	3.000	CYP3A4
556	3.000	DCN
557	3.000	DDB1
558	3.000	DDR1
559	3.000	DDR2
560	3.000	DDX23
561	3.000	DGKE
562	3.000	DLL1
563	3.000	DPAGT1
564	3.000	DUSP2
565	3.000	DUSP3
566	3.000	ELK1
567	3.000	EPHA7
568	3.000	ETS1
569	3.000	ETV6
570	3.000	EYA2
571	3.000	F8
572	3.000	FAM123B
573	3.000	FCGR2B
574	3.000	FGF13
575	3.000	FLCN
576	3.000	FLI1
577	3.000	FUT1
578	3.000	FZD7
579	3.000	GALNT5
580	3.000	GATA6
581	3.000	GFAP
582	3.000	GPHN
583	3.000	GSN
584	3.000	GUCY2F
585	3.000	HDAC7
586	3.000	HERC2
587	3.000	HOXA13
588	3.000	HOXC13
589	3.000	HOXD13
590	3.000	HSD17B1
591	3.000	HSD17B2
592	3.000	HSD3B2
593	3.000	HUWE1
594	3.000	IDH2
595	3.000	IKBKAP
596	3.000	IL6
597	3.000	IL8
598	3.000	ILK
599	3.000	IMPA2
600	3.000	INPP1
601	3.000	INPP4B
602	3.000	INPP5B
603	3.000	INPP5E
604	3.000	INPP5J
605	3.000	ITPKA
606	3.000	ITPR2
607	3.000	KDSR
608	3.000	KIAA0774
609	3.000	KIAA1303
610	3.000	LIG3
611	3.000	MADD
612	3.000	MAFB
613	3.000	MALT1
614	3.000	MAML2
615	3.000	MAOA
616	3.000	MAPK14
617	3.000	MAPK8
618	3.000	MARK4
619	3.000	MATK
620	3.000	MDH1
621	3.000	MGA
622	3.000	MLH3
623	3.000	MLLT4
624	3.000	MMP2
625	3.000	MYB
626	3.000	NCOA3
627	3.000	NFKB1
628	3.000	NFKB2
629	3.000	NFKBIA
630	3.000	NRP1
631	3.000	NTRK2
632	3.000	OLIG2
633	3.000	PAK1
634	3.000	PAK3
635	3.000	PALB2
636	3.000	PAX8
637	3.000	PCM1
638	3.000	PFKP
639	3.000	PI4KB
640	3.000	PIKFYVE
641	3.000	PKM2
642	3.000	PLCB2
643	3.000	PLD2
644	3.000	POLD1
645	3.000	POLE3
646	3.000	POLR1D
647	3.000	POLR2B
648	3.000	POSTN
649	3.000	PPAP2C
650	3.000	PPARGC1B
651	3.000	PPME1
652	3.000	PPP2R4
653	3.000	PPP3CA
654	3.000	PPP3CB
655	3.000	PRMT1
656	3.000	PRPS1
657	3.000	PSEN1
658	3.000	PTPRK
659	3.000	PTPRM
660	3.000	RAC1
661	3.000	RAD52
662	3.000	RAD54B
663	3.000	RAD54L
664	3.000	RANBP17
665	3.000	RAP2A
666	3.000	RARB
667	3.000	RELA
668	3.000	RICTOR
669	3.000	ROBO2
670	3.000	ROR2
671	3.000	RPA3
672	3.000	RPS6KB2
673	3.000	RRM2B
674	3.000	RUNX2
675	3.000	SCYL1
676	3.000	SETD7
677	3.000	SETDB1
678	3.000	SFRS3
679	3.000	SGK1
680	3.000	SGPP1
681	3.000	SIK2
682	3.000	SMAD7
683	3.000	SPHKAP
684	3.000	SPP1
685	3.000	SSX2
686	3.000	STAG2
687	3.000	STAG3
688	3.000	SULF1
689	3.000	TFEB
690	3.000	TFG
691	3.000	TFPT
692	3.000	TLX3
693	3.000	TMPRSS2
694	3.000	TNFRSF1B
695	3.000	TOP2B
696	3.000	TUSC3
697	3.000	UBE2B
698	3.000	UBE2M
699	3.000	UBE2O
700	3.000	UBR5
701	3.000	WNT11
702	3.000	WNT8B
703	3.000	XRCC1
704	3.000	ZMYM2
705	3.000	ZNF384
